,source_url,img_url,0,1
0,,,https://sethlui.com/ebi-bar-singapore/,https://sethlui.com/wp-content/uploads/2022/09/Ebi-Bar-01.jpg
1,,,https://sethlui.com/ebi-bar-singapore/,https://sethlui.com/wp-content/uploads/2022/09/Ebi-Bar-02.jpg
10,,,https://sethlui.com/ebi-bar-singapore/,https://sethlui.com/wp-content/uploads/2022/09/Ebi-Bar-05.jpg
104,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Pin-Ji-Fishball-Minced-Meat-Noodles-41.jpg
105,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-1-e1571915040151.jpeg
106,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-2-e1571915050488.jpeg
107,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-12-e1571916138649.jpeg
108,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-3-e1571915062414.jpeg
109,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-13-e1572061710774.jpeg
11,,,https://sethlui.com/ebi-bar-singapore/,https://sethlui.com/wp-content/uploads/2022/09/Ebi-Bar-11.jpg
110,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-4-e1571915072300.jpeg
111,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-6-e1571915097975.jpeg
112,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-9-e1571915138824.jpeg
113,,,https://sethlui.com/xiao-di-fried-prawn-noodle-hokkien-mee-singapore/,http://sethlui.com/wp-content/uploads/2019/10/Xiao-Di-Hokkien-Mee-5-e1571915082570.jpeg
